s	algo1_time	algo2_time	algo3_time
596	0.000000	0.002915	0.000002
597	0.000000	0.002910	0.000003
598	0.000000	0.002847	0.000002
599	0.000000	0.002955	0.000002
600	0.000000	0.002762	0.000001
601	0.000000	0.002808	0.000001
602	0.000000	0.003083	0.000002
603	0.000000	0.002910	0.000002
604	0.000000	0.003008	0.000003
605	0.000000	0.003019	0.000002
606	0.000000	0.002926	0.000002
607	0.000000	0.002947	0.000002
608	0.000000	0.002844	0.000002
609	0.000000	0.002978	0.000002
610	0.000000	0.002834	0.000002
611	0.000000	0.002995	0.000002
612	0.000000	0.002880	0.000001
613	0.000000	0.002922	0.000002
614	0.000000	0.002851	0.000002
615	0.000000	0.002951	0.000002
616	0.000000	0.002882	0.000002
617	0.000000	0.002955	0.000002
618	0.000000	0.002875	0.000001
619	0.000000	0.003044	0.000002
620	0.000000	0.002918	0.000002
621	0.000000	0.002966	0.000002
622	0.000000	0.003000	0.000002
623	0.000000	0.003173	0.000002
624	0.000000	0.003135	0.000002
625	0.000000	0.002961	0.000002
626	0.000000	0.002958	0.000002
627	0.000000	0.003079	0.000002
628	0.000000	0.002918	0.000002
629	0.000000	0.002967	0.000002
630	0.000000	0.003215	0.000003
631	0.000000	0.003094	0.000002
632	0.000000	0.003246	0.000002
633	0.000000	0.003037	0.000002
634	0.000000	0.003122	0.000002
635	0.000000	0.003134	0.000002
636	0.000000	0.003626	0.000003
637	0.000000	0.003421	0.000002
638	0.000000	0.003150	0.000002
639	0.000000	0.003163	0.000002
640	0.000000	0.003112	0.000002
641	0.000000	0.002920	0.000002
642	0.000000	0.003266	0.000002
643	0.000000	0.003247	0.000002
644	0.000000	0.003161	0.000001
645	0.000000	0.003276	0.000002
646	0.000000	0.003158	0.000002
647	0.000000	0.003180	0.000002
648	0.000000	0.003336	0.000003
649	0.000000	0.003125	0.000002
650	0.000000	0.003100	0.000002
651	0.000000	0.003287	0.000002
652	0.000000	0.003201	0.000002
653	0.000000	0.003253	0.000002
654	0.000000	0.003416	0.000002
655	0.000000	0.003070	0.000001
656	0.000000	0.003295	0.000002
657	0.000000	0.003139	0.000001
658	0.000000	0.003341	0.000002
