s	algo1_time	algo2_time	algo3_time
455	0.000000	0.004348	0.000002
456	0.000000	0.003994	0.000002
457	0.000000	0.004408	0.000002
458	0.000000	0.004043	0.000003
459	0.000000	0.004378	0.000001
460	0.000000	0.004028	0.000001
461	0.000000	0.004364	0.000002
462	0.000000	0.004032	0.000001
463	0.000000	0.004482	0.000001
464	0.000000	0.004060	0.000001
465	0.000000	0.004513	0.000002
466	0.000000	0.004088	0.000001
467	0.000000	0.004316	0.000002
468	0.000000	0.004101	0.000002
469	0.000000	0.004406	0.000002
470	0.000000	0.004178	0.000001
471	0.000000	0.004580	0.000002
472	0.000000	0.004142	0.000001
473	0.000000	0.004268	0.000002
474	0.000000	0.004386	0.000002
475	0.000000	0.004349	0.000001
476	0.000000	0.004347	0.000001
477	0.000000	0.004386	0.000001
478	0.000000	0.004384	0.000001
479	0.000000	0.004426	0.000001
480	0.000000	0.004153	0.000001
481	0.000000	0.004326	0.000001
482	0.000000	0.004470	0.000002
483	0.000000	0.004319	0.000001
484	0.000000	0.004197	0.000001
485	0.000000	0.004613	0.000002
486	0.000000	0.004347	0.000001
487	0.000000	0.004651	0.000002
488	0.000000	0.004234	0.000001
489	0.000000	0.004752	0.000002
490	0.000000	0.004539	0.000002
491	0.000000	0.004543	0.000002
492	0.000000	0.004402	0.000002
493	0.000000	0.004627	0.000002
494	0.000000	0.004490	0.000002
495	0.000000	0.004584	0.000001
496	0.000000	0.004633	0.000002
497	0.000000	0.004506	0.000002
498	0.000000	0.004525	0.000002
499	0.000000	0.004353	0.000001
500	0.000000	0.004762	0.000002
501	0.000000	0.004374	0.000001
502	0.000000	0.004413	0.000001
503	0.000000	0.004370	0.000002
504	0.000000	0.004485	0.000001
505	0.000000	0.004411	0.000001
506	0.000000	0.004454	0.000001
507	0.000000	0.004404	0.000001
508	0.000000	0.004504	0.000001
509	0.000000	0.004436	0.000001
510	0.000000	0.004477	0.000001
511	0.000000	0.004980	0.000001
512	0.000000	0.004614	0.000001
513	0.000000	0.004461	0.000001
514	0.000000	0.004564	0.000001
515	0.000000	0.004503	0.000001
516	0.000000	0.004925	0.000002
517	0.000000	0.004523	0.000002
518	0.000000	0.004759	0.000002
519	0.000000	0.004559	0.000001
520	0.000000	0.004771	0.000001
521	0.000000	0.004563	0.000001
522	0.000000	0.004782	0.000002
523	0.000000	0.004561	0.000002
524	0.000000	0.004841	0.000001
525	0.000000	0.004588	0.000001
526	0.000000	0.004836	0.000001
527	0.000000	0.004601	0.000001
528	0.000000	0.004862	0.000001
529	0.000000	0.004616	0.000001
530	0.000000	0.004882	0.000002
531	0.000000	0.004633	0.000002
532	0.000000	0.004882	0.000002
533	0.000000	0.004666	0.000001
534	0.000000	0.004904	0.000002
